document,class_name,class_index,dataset_type
automate analysis security key distribution,8,6,test
theory large fluctuation,4,9,test
global growth opportunity market integration,4,9,test
approach neural network review case study,3,3,test
composition irrigation water,0,4,test
experiment laboratory testing,6,5,test
mineral base oil,7,7,test
high level language development environment control system,5,2,test
role policy rule inflation target,4,9,test
proceeding international joint conference artificial intelligence combinatorial aggregation,9,8,test
resource lesson learn,2,1,test
evolve connectionist system line knowledge base learning,3,3,test
review selection human evolution choice shape human nature,1,0,test
optimization global method neural network,3,3,test
session interest high school student improve education,9,8,test
run title metal bond state prediction,3,3,test
state fold weak free energy barrier,2,1,test
simple method temperature sensor stream version update,0,4,test
topological information theory,8,6,test
internet web technology service,1,0,test
symposium paper presentation poster,7,7,test
load classify multi source stream data baye risk approach,9,8,test
measure salinity change zone electromagnetic induction,0,4,test
biological operator gene regulation study,2,1,test
evaluation year intervention reduce hazard,0,4,test
dissertation submit physical science,4,9,test
heat removal reverse flow reactor methane combustion,7,7,test
risk analysis heavy financial return,4,9,test
model interest rate,4,9,test
original paper system biology robustness analysis synthetic gene network,2,1,test
approximate semantic logic program recurrent neural network,3,3,test
portable alpha portable beta strategy zone implement active asset allocation decision equity index option future,4,9,test
exponential stabilization nonlinear control system homogeneous feedback,5,2,test
binary analysis optimization base gene expression datum,2,1,test
natural resource conservation service soil management soil,0,4,test
inclusion document analysis data set application gene expression datum,2,1,test
persistent virtual community network impact social capital chain,9,8,test
neural code strategy mechanism competition,3,3,test
approach neural net feature selection knowledge discovery datum mining,3,3,test
print great summary problem electron biological tissue,6,5,test
dynamic navigation natural scene motion base object segmentation neural network,3,3,test
incremental training order recurrent neural network predict context sensitive language,3,3,test
approximate maximum weight dynamic,3,3,test
perspective learn symbolic datum system,3,3,test
history projection average annual,7,7,test
comparative survey adaptive neural network algorithm independent component analysis,3,3,test
algorithm sequential decision making,9,8,test
state space evolve robot,5,2,test
metric model amino acid,2,1,test
computational model decision making,9,8,test
networked control system attack application power network,5,2,test
efficient reinforcement learn evolution,3,3,test
parallel language compiler perspective titanium experience,6,5,test
machine learning application bioinformatic overview,3,3,test
identification combination transcription factor bind site set express gene,2,1,test
protocol utilize uncertainty principle,8,6,test
model dynamical generation space time,8,6,test
infrare analysis coal mine dust year,6,5,test
modeling inference sequence structure specificity,2,1,test
cylinder detection cylinder diesel engine pressure variation,7,7,test
automate method analysis flow characteristic circulate particle,3,3,test
